Original,New
changed,Changes
Changing,Changes
changing,Changes
Chevron,Chevron
Cigar,Cigar
cigar,Cigar
Circle,Circle
circle,Circle
Cone,Cone
Crescent,Crescent
Cross,Cross
Cylinder,Cylinder
cylinder,Cylinder
Delta,Delta
delta,Delta
Diamond,Diamond
diamond,Diamond
Disk,Disk
Dome,Dome
Egg,Egg
egg,Egg
Fireball,Fireball
fireball,Fireball
Flare,Flare
Flash,Flash
flash,Flash
Formation,Formation
Hexagon,Hexagon
light,Light
Light ,Light
Other,Other
other,Other
Oval,Egg
oval,Egg
pyramid,Pyramid
Rectangle,Rectangle
rectangle,Rectangle
Round,Sphere
Sphere,Sphere
sphere,Sphere
Star,Star
Teardrop,Teardrop
Triangle,Triangle
triangle,Triangle
TRIANGULAR,Triangle
Unknown,Other
unknown,Other
,Other
